quarter,industry1,industry2,occupation1,job_vacancy_rate
"2000-Q3","services","transport and storage","total","3.5"
"2000-Q3","services","transport and storage","professional, managers, executive and technicians","3.3"
"2000-Q3","services","transport and storage","clerical, sales and services workers","3.4"
"2000-Q3","services","transport and storage","production and transport operators, cleaners and labourers","3.8"
"2000-Q3","services","hotels and restaurants","total","3.8"
"2000-Q3","services","hotels and restaurants","professional, managers, executive and technicians","2.4"
"2000-Q3","services","hotels and restaurants","clerical, sales and services workers","3.9"
"2000-Q3","services","hotels and restaurants","production and transport operators, cleaners and labourers","5"
"2000-Q3","services","information and communications","total","5.3"
"2000-Q3","services","information and communications","professional, managers, executive and technicians","5.9"
"2000-Q3","services","information and communications","clerical, sales and services workers","3.7"
"2000-Q3","services","information and communications","production and transport operators, cleaners and labourers","-"
"2000-Q3","services","financial services","total","3.9"
"2000-Q3","services","financial services","professional, managers, executive and technicians","4.1"
"2000-Q3","services","financial services","clerical, sales and services workers","3.6"
"2000-Q3","services","financial services","production and transport operators, cleaners and labourers","4.5"
"2000-Q3","services","real estate and leasing services","total","3.6"
"2000-Q3","services","real estate and leasing services","professional, managers, executive and technicians","2.4"
"2000-Q3","services","real estate and leasing services","clerical, sales and services workers","4.4"
"2000-Q3","services","real estate and leasing services","production and transport operators, cleaners and labourers","3.7"
"2000-Q3","services","professional services","total","3.1"
"2000-Q3","services","professional services","professional, managers, executive and technicians","3.3"
"2000-Q3","services","professional services","clerical, sales and services workers","3.3"
"2000-Q3","services","professional services","production and transport operators, cleaners and labourers","2.3"
"2000-Q3","services","administrative and support services","total","4.4"
"2000-Q3","services","administrative and support services","professional, managers, executive and technicians","4.5"
"2000-Q3","services","administrative and support services","clerical, sales and services workers","4.4"
"2000-Q3","services","administrative and support services","production and transport operators, cleaners and labourers","4.5"
"2000-Q3","services","community, social and personal services","total","4"
"2000-Q3","services","community, social and personal services","professional, managers, executive and technicians","3.8"
"2000-Q3","services","community, social and personal services","clerical, sales and services workers","4.5"
"2000-Q3","services","community, social and personal services","production and transport operators, cleaners and labourers","3.2"
"2000-Q3","others","others","total","3.2"
"2000-Q3","others","others","professional, managers, executive and technicians","5.6"
"2000-Q3","others","others","clerical, sales and services workers","5.6"
"2000-Q3","others","others","production and transport operators, cleaners and labourers","1.4"
"2000-Q4","total","total","total","2.2"
"2000-Q4","total","total","professional, managers, executive and technicians","2.6"
"2000-Q4","total","total","clerical, sales and services workers","2.6"
"2000-Q4","total","total","production and transport operators, cleaners and labourers","1.6"
"2000-Q4","manufacturing","food, beverages and tobacco","total","0.9"
"2000-Q4","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"2000-Q4","manufacturing","food, beverages and tobacco","clerical, sales and services workers","-"
"2000-Q4","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","-"
"2000-Q4","manufacturing","paper products and printing","total","2"
"2000-Q4","manufacturing","paper products and printing","professional, managers, executive and technicians","-"
"2000-Q4","manufacturing","paper products and printing","clerical, sales and services workers","-"
"2000-Q4","manufacturing","paper products and printing","production and transport operators, cleaners and labourers","2"
"2000-Q4","manufacturing","petroleum, chemical and pharmaceutical products","total","0.8"
"2000-Q4","manufacturing","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians","1.2"
"2000-Q4","manufacturing","petroleum, chemical and pharmaceutical products","clerical, sales and services workers","-"
"2000-Q4","manufacturing","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers","0.7"
"2000-Q4","manufacturing","rubber and plastic products","total","1.6"
"2000-Q4","manufacturing","rubber and plastic products","professional, managers, executive and technicians","2.4"
"2000-Q4","manufacturing","rubber and plastic products","clerical, sales and services workers","-"
"2000-Q4","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","1.5"
"2000-Q4","manufacturing","fabricated metal products","total","2.3"
"2000-Q4","manufacturing","fabricated metal products","professional, managers, executive and technicians","3.4"
"2000-Q4","manufacturing","fabricated metal products","clerical, sales and services workers","2.1"
"2000-Q4","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","2"
"2000-Q4","manufacturing","machinery and equipment","total","2.2"
"2000-Q4","manufacturing","machinery and equipment","professional, managers, executive and technicians","1.9"
"2000-Q4","manufacturing","machinery and equipment","clerical, sales and services workers","2.1"
"2000-Q4","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","2.4"
"2000-Q4","manufacturing","electrical products","total","1.5"
"2000-Q4","manufacturing","electrical products","professional, managers, executive and technicians","3"
"2000-Q4","manufacturing","electrical products","clerical, sales and services workers","-"
"2000-Q4","manufacturing","electrical products","production and transport operators, cleaners and labourers","0.9"
"2000-Q4","manufacturing","electronic products","total","2"
"2000-Q4","manufacturing","electronic products","professional, managers, executive and technicians","2.6"
"2000-Q4","manufacturing","electronic products","clerical, sales and services workers","2.1"
"2000-Q4","manufacturing","electronic products","production and transport operators, cleaners and labourers","1.5"
"2000-Q4","manufacturing","medical and precision instruments","total","3.3"
"2000-Q4","manufacturing","medical and precision instruments","professional, managers, executive and technicians","5.2"
"2000-Q4","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"2000-Q4","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","2.7"
"2000-Q4","manufacturing","transport equipment","total","2.4"
"2000-Q4","manufacturing","transport equipment","professional, managers, executive and technicians","3.1"
"2000-Q4","manufacturing","transport equipment","clerical, sales and services workers","3.2"
"2000-Q4","manufacturing","transport equipment","production and transport operators, cleaners and labourers","2.2"
"2000-Q4","manufacturing","other manufacturing industries","total","2.5"
"2000-Q4","manufacturing","other manufacturing industries","professional, managers, executive and technicians","2.3"
"2000-Q4","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"2000-Q4","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","2.8"
"2000-Q4","construction","construction","total","0.6"
"2000-Q4","construction","construction","professional, managers, executive and technicians","0.8"
"2000-Q4","construction","construction","clerical, sales and services workers","0.6"
"2000-Q4","construction","construction","production and transport operators, cleaners and labourers","0.6"
"2000-Q4","services","wholesale and retail trade","total","2.1"
"2000-Q4","services","wholesale and retail trade","professional, managers, executive and technicians","2.2"
"2000-Q4","services","wholesale and retail trade","clerical, sales and services workers","2.7"
"2000-Q4","services","wholesale and retail trade","production and transport operators, cleaners and labourers","1.1"
"2000-Q4","services","transport and storage","total","2.7"
"2000-Q4","services","transport and storage","professional, managers, executive and technicians","2.4"
"2000-Q4","services","transport and storage","clerical, sales and services workers","2.7"
"2000-Q4","services","transport and storage","production and transport operators, cleaners and labourers","3"
"2000-Q4","services","hotels and restaurants","total","3.1"
"2000-Q4","services","hotels and restaurants","professional, managers, executive and technicians","2.2"
"2000-Q4","services","hotels and restaurants","clerical, sales and services workers","2.9"
"2000-Q4","services","hotels and restaurants","production and transport operators, cleaners and labourers","5.2"
"2000-Q4","services","information and communications","total","3.8"
"2000-Q4","services","information and communications","professional, managers, executive and technicians","4"
"2000-Q4","services","information and communications","clerical, sales and services workers","3.3"
"2000-Q4","services","information and communications","production and transport operators, cleaners and labourers","-"
"2000-Q4","services","financial services","total","3"
"2000-Q4","services","financial services","professional, managers, executive and technicians","3.3"
"2000-Q4","services","financial services","clerical, sales and services workers","2.8"
"2000-Q4","services","financial services","production and transport operators, cleaners and labourers","-"
"2000-Q4","services","real estate and leasing services","total","2.6"
"2000-Q4","services","real estate and leasing services","professional, managers, executive and technicians","2.4"
"2000-Q4","services","real estate and leasing services","clerical, sales and services workers","3.4"
"2000-Q4","services","real estate and leasing services","production and transport operators, cleaners and labourers","2.3"
"2000-Q4","services","professional services","total","1.9"
"2000-Q4","services","professional services","professional, managers, executive and technicians","2.1"
"2000-Q4","services","professional services","clerical, sales and services workers","1.6"
"2000-Q4","services","professional services","production and transport operators, cleaners and labourers","1.3"
"2000-Q4","services","administrative and support services","total","3.7"
"2000-Q4","services","administrative and support services","professional, managers, executive and technicians","2.3"
"2000-Q4","services","administrative and support services","clerical, sales and services workers","4.6"
"2000-Q4","services","administrative and support services","production and transport operators, cleaners and labourers","2.9"
"2000-Q4","services","community, social and personal services","total","2.8"
"2000-Q4","services","community, social and personal services","professional, managers, executive and technicians","2.7"
"2000-Q4","services","community, social and personal services","clerical, sales and services workers","3.3"
"2000-Q4","services","community, social and personal services","production and transport operators, cleaners and labourers","2.1"
"2000-Q4","others","others","total","2.5"
"2000-Q4","others","others","professional, managers, executive and technicians","5.7"
"2000-Q4","others","others","clerical, sales and services workers","-"
"2000-Q4","others","others","production and transport operators, cleaners and labourers","-"
"2001-Q1","total","total","total","1.9"
"2001-Q1","total","total","professional, managers, executive and technicians","2.3"
"2001-Q1","total","total","clerical, sales and services workers","2.5"
"2001-Q1","total","total","production and transport operators, cleaners and labourers","1.3"
"2001-Q1","manufacturing","food, beverages and tobacco","total","1.4"
"2001-Q1","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"2001-Q1","manufacturing","food, beverages and tobacco","clerical, sales and services workers","-"
"2001-Q1","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","1.6"
"2001-Q1","manufacturing","paper products and printing","total","1.7"
"2001-Q1","manufacturing","paper products and printing","professional, managers, executive and technicians","-"
"2001-Q1","manufacturing","paper products and printing","clerical, sales and services workers","-"
"2001-Q1","manufacturing","paper products and printing","production and transport operators, cleaners and labourers","1.8"
"2001-Q1","manufacturing","petroleum, chemical and pharmaceutical products","total","0.9"
"2001-Q1","manufacturing","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians","1.1"
"2001-Q1","manufacturing","petroleum, chemical and pharmaceutical products","clerical, sales and services workers","-"
"2001-Q1","manufacturing","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers","0.9"
"2001-Q1","manufacturing","rubber and plastic products","total","0.9"
"2001-Q1","manufacturing","rubber and plastic products","professional, managers, executive and technicians","-"
"2001-Q1","manufacturing","rubber and plastic products","clerical, sales and services workers","-"
"2001-Q1","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","0.7"
"2001-Q1","manufacturing","fabricated metal products","total","1.4"
"2001-Q1","manufacturing","fabricated metal products","professional, managers, executive and technicians","2.3"
"2001-Q1","manufacturing","fabricated metal products","clerical, sales and services workers","-"
"2001-Q1","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","1.1"
"2001-Q1","manufacturing","machinery and equipment","total","1.1"
"2001-Q1","manufacturing","machinery and equipment","professional, managers, executive and technicians","1.2"
"2001-Q1","manufacturing","machinery and equipment","clerical, sales and services workers","2.1"
"2001-Q1","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","0.9"
"2001-Q1","manufacturing","electrical products","total","1.3"
"2001-Q1","manufacturing","electrical products","professional, managers, executive and technicians","-"
"2001-Q1","manufacturing","electrical products","clerical, sales and services workers","-"
"2001-Q1","manufacturing","electrical products","production and transport operators, cleaners and labourers","1.2"
"2001-Q1","manufacturing","electronic products","total","1.2"
"2001-Q1","manufacturing","electronic products","professional, managers, executive and technicians","2"
"2001-Q1","manufacturing","electronic products","clerical, sales and services workers","1.2"
"2001-Q1","manufacturing","electronic products","production and transport operators, cleaners and labourers","0.7"
"2001-Q1","manufacturing","medical and precision instruments","total","1.9"
"2001-Q1","manufacturing","medical and precision instruments","professional, managers, executive and technicians","2"
"2001-Q1","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"2001-Q1","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","1.9"
"2001-Q1","manufacturing","transport equipment","total","2.6"
"2001-Q1","manufacturing","transport equipment","professional, managers, executive and technicians","2.8"
"2001-Q1","manufacturing","transport equipment","clerical, sales and services workers","3.3"
"2001-Q1","manufacturing","transport equipment","production and transport operators, cleaners and labourers","2.5"
"2001-Q1","manufacturing","other manufacturing industries","total","2"
"2001-Q1","manufacturing","other manufacturing industries","professional, managers, executive and technicians","2"
"2001-Q1","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"2001-Q1","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","2.1"
"2001-Q1","construction","construction","total","0.7"
"2001-Q1","construction","construction","professional, managers, executive and technicians","0.7"
"2001-Q1","construction","construction","clerical, sales and services workers","0.8"
"2001-Q1","construction","construction","production and transport operators, cleaners and labourers","0.6"
"2001-Q1","services","wholesale and retail trade","total","1.9"
"2001-Q1","services","wholesale and retail trade","professional, managers, executive and technicians","1.8"
"2001-Q1","services","wholesale and retail trade","clerical, sales and services workers","2.6"
"2001-Q1","services","wholesale and retail trade","production and transport operators, cleaners and labourers","0.7"
"2001-Q1","services","transport and storage","total","2.8"
"2001-Q1","services","transport and storage","professional, managers, executive and technicians","2.6"
"2001-Q1","services","transport and storage","clerical, sales and services workers","2.6"
"2001-Q1","services","transport and storage","production and transport operators, cleaners and labourers","3.1"
"2001-Q1","services","hotels and restaurants","total","3"
"2001-Q1","services","hotels and restaurants","professional, managers, executive and technicians","3.3"
"2001-Q1","services","hotels and restaurants","clerical, sales and services workers","2.9"
"2001-Q1","services","hotels and restaurants","production and transport operators, cleaners and labourers","3"
"2001-Q1","services","information and communications","total","2.8"
"2001-Q1","services","information and communications","professional, managers, executive and technicians","3"
"2001-Q1","services","information and communications","clerical, sales and services workers","2.4"
"2001-Q1","services","information and communications","production and transport operators, cleaners and labourers","-"
"2001-Q1","services","financial services","total","3.5"
"2001-Q1","services","financial services","professional, managers, executive and technicians","4"
"2001-Q1","services","financial services","clerical, sales and services workers","2.7"
"2001-Q1","services","financial services","production and transport operators, cleaners and labourers","1.9"
"2001-Q1","services","real estate and leasing services","total","1.7"
"2001-Q1","services","real estate and leasing services","professional, managers, executive and technicians","1.8"
"2001-Q1","services","real estate and leasing services","clerical, sales and services workers","1.6"
"2001-Q1","services","real estate and leasing services","production and transport operators, cleaners and labourers","1.7"
"2001-Q1","services","professional services","total","1.5"
"2001-Q1","services","professional services","professional, managers, executive and technicians","1.7"
"2001-Q1","services","professional services","clerical, sales and services workers","1.4"
"2001-Q1","services","professional services","production and transport operators, cleaners and labourers","0.9"
"2001-Q1","services","administrative and support services","total","4.1"
"2001-Q1","services","administrative and support services","professional, managers, executive and technicians","2.5"
"2001-Q1","services","administrative and support services","clerical, sales and services workers","4.2"
"2001-Q1","services","administrative and support services","production and transport operators, cleaners and labourers","4.7"
"2001-Q1","services","community, social and personal services","total","2.5"
"2001-Q1","services","community, social and personal services","professional, managers, executive and technicians","2.4"
"2001-Q1","services","community, social and personal services","clerical, sales and services workers","2.8"
"2001-Q1","services","community, social and personal services","production and transport operators, cleaners and labourers","2"
"2001-Q1","others","others","total","2.8"
"2001-Q1","others","others","professional, managers, executive and technicians","6.2"
"2001-Q1","others","others","clerical, sales and services workers","5.5"
"2001-Q1","others","others","production and transport operators, cleaners and labourers","-"
"2001-Q2","total","total","total","1.7"
"2001-Q2","total","total","professional, managers, executive and technicians","1.9"
"2001-Q2","total","total","clerical, sales and services workers","2"
"2001-Q2","total","total","production and transport operators, cleaners and labourers","1.3"
"2001-Q2","manufacturing","food, beverages and tobacco","total","-"
"2001-Q2","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"2001-Q2","manufacturing","food, beverages and tobacco","clerical, sales and services workers","-"
"2001-Q2","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","-"
"2001-Q2","manufacturing","paper products and printing","total","1"
"2001-Q2","manufacturing","paper products and printing","professional, managers, executive and technicians","-"
"2001-Q2","manufacturing","paper products and printing","clerical, sales and services workers","-"
"2001-Q2","manufacturing","paper products and printing","production and transport operators, cleaners and labourers","1"
"2001-Q2","manufacturing","petroleum, chemical and pharmaceutical products","total","1.3"
"2001-Q2","manufacturing","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians","1.7"
"2001-Q2","manufacturing","petroleum, chemical and pharmaceutical products","clerical, sales and services workers","-"
"2001-Q2","manufacturing","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers","1"
"2001-Q2","manufacturing","rubber and plastic products","total","0.5"
"2001-Q2","manufacturing","rubber and plastic products","professional, managers, executive and technicians","-"
"2001-Q2","manufacturing","rubber and plastic products","clerical, sales and services workers","-"
"2001-Q2","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","-"
"2001-Q2","manufacturing","fabricated metal products","total","0.8"
"2001-Q2","manufacturing","fabricated metal products","professional, managers, executive and technicians","1.2"
"2001-Q2","manufacturing","fabricated metal products","clerical, sales and services workers","-"
"2001-Q2","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","0.8"
"2001-Q2","manufacturing","machinery and equipment","total","2"
"2001-Q2","manufacturing","machinery and equipment","professional, managers, executive and technicians","1.1"
"2001-Q2","manufacturing","machinery and equipment","clerical, sales and services workers","1.6"
"2001-Q2","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","2.5"
"2001-Q2","manufacturing","electrical products","total","1.2"
"2001-Q2","manufacturing","electrical products","professional, managers, executive and technicians","-"
"2001-Q2","manufacturing","electrical products","clerical, sales and services workers","-"
"2001-Q2","manufacturing","electrical products","production and transport operators, cleaners and labourers","-"
"2001-Q2","manufacturing","electronic products","total","0.6"
"2001-Q2","manufacturing","electronic products","professional, managers, executive and technicians","1.2"
"2001-Q2","manufacturing","electronic products","clerical, sales and services workers","-"
"2001-Q2","manufacturing","electronic products","production and transport operators, cleaners and labourers","0.3"
"2001-Q2","manufacturing","medical and precision instruments","total","1.9"
"2001-Q2","manufacturing","medical and precision instruments","professional, managers, executive and technicians","2.6"
"2001-Q2","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"2001-Q2","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","1.6"
"2001-Q2","manufacturing","transport equipment","total","3"
"2001-Q2","manufacturing","transport equipment","professional, managers, executive and technicians","5.1"
"2001-Q2","manufacturing","transport equipment","clerical, sales and services workers","3.4"
"2001-Q2","manufacturing","transport equipment","production and transport operators, cleaners and labourers","2.5"
"2001-Q2","manufacturing","other manufacturing industries","total","1.6"
"2001-Q2","manufacturing","other manufacturing industries","professional, managers, executive and technicians","-"
"2001-Q2","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"2001-Q2","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","1.8"
"2001-Q2","construction","construction","total","0.5"
"2001-Q2","construction","construction","professional, managers, executive and technicians","0.6"
"2001-Q2","construction","construction","clerical, sales and services workers","-"
"2001-Q2","construction","construction","production and transport operators, cleaners and labourers","0.5"
"2001-Q2","services","wholesale and retail trade","total","1.3"
"2001-Q2","services","wholesale and retail trade","professional, managers, executive and technicians","0.9"
"2001-Q2","services","wholesale and retail trade","clerical, sales and services workers","1.9"
"2001-Q2","services","wholesale and retail trade","production and transport operators, cleaners and labourers","0.7"
"2001-Q2","services","transport and storage","total","3"
"2001-Q2","services","transport and storage","professional, managers, executive and technicians","3.6"
"2001-Q2","services","transport and storage","clerical, sales and services workers","2.2"
"2001-Q2","services","transport and storage","production and transport operators, cleaners and labourers","3.3"
"2001-Q2","services","hotels and restaurants","total","3"
"2001-Q2","services","hotels and restaurants","professional, managers, executive and technicians","3.3"
"2001-Q2","services","hotels and restaurants","clerical, sales and services workers","2.9"
"2001-Q2","services","hotels and restaurants","production and transport operators, cleaners and labourers","3.4"
"2001-Q2","services","information and communications","total","2"
"2001-Q2","services","information and communications","professional, managers, executive and technicians","2.1"
"2001-Q2","services","information and communications","clerical, sales and services workers","1.8"
"2001-Q2","services","information and communications","production and transport operators, cleaners and labourers","-"
"2001-Q2","services","financial services","total","3"
"2001-Q2","services","financial services","professional, managers, executive and technicians","3.4"
"2001-Q2","services","financial services","clerical, sales and services workers","2.4"
"2001-Q2","services","financial services","production and transport operators, cleaners and labourers","-"
"2001-Q2","services","real estate and leasing services","total","1.6"
"2001-Q2","services","real estate and leasing services","professional, managers, executive and technicians","1.5"
"2001-Q2","services","real estate and leasing services","clerical, sales and services workers","1.3"
"2001-Q2","services","real estate and leasing services","production and transport operators, cleaners and labourers","1.8"
"2001-Q2","services","professional services","total","1.2"
"2001-Q2","services","professional services","professional, managers, executive and technicians","1.4"
"2001-Q2","services","professional services","clerical, sales and services workers","0.9"
"2001-Q2","services","professional services","production and transport operators, cleaners and labourers","0.9"
"2001-Q2","services","administrative and support services","total","3.9"
"2001-Q2","services","administrative and support services","professional, managers, executive and technicians","-"
"2001-Q2","services","administrative and support services","clerical, sales and services workers","2.9"
"2001-Q2","services","administrative and support services","production and transport operators, cleaners and labourers","7.3"
"2001-Q2","services","community, social and personal services","total","1.8"
"2001-Q2","services","community, social and personal services","professional, managers, executive and technicians","1.7"
"2001-Q2","services","community, social and personal services","clerical, sales and services workers","2.1"
"2001-Q2","services","community, social and personal services","production and transport operators, cleaners and labourers","1.6"
"2001-Q2","others","others","total","2.7"
"2001-Q2","others","others","professional, managers, executive and technicians","6.3"
"2001-Q2","others","others","clerical, sales and services workers","7"
"2001-Q2","others","others","production and transport operators, cleaners and labourers","-"
"2001-Q3","total","total","total","1.3"
"2001-Q3","total","total","professional, managers, executive and technicians","1.5"
"2001-Q3","total","total","clerical, sales and services workers","1.5"
"2001-Q3","total","total","production and transport operators, cleaners and labourers","1.1"
"2001-Q3","manufacturing","food, beverages and tobacco","total","1.4"
"2001-Q3","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"2001-Q3","manufacturing","food, beverages and tobacco","clerical, sales and services workers","2.2"
"2001-Q3","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","1.1"
"2001-Q3","manufacturing","paper products and printing","total","1.1"
"2001-Q3","manufacturing","paper products and printing","professional, managers, executive and technicians","-"
"2001-Q3","manufacturing","paper products and printing","clerical, sales and services workers","-"
"2001-Q3","manufacturing","paper products and printing","production and transport operators, cleaners and labourers","1.2"
"2001-Q3","manufacturing","petroleum, chemical and pharmaceutical products","total","1"
"2001-Q3","manufacturing","petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians","1.4"
"2001-Q3","manufacturing","petroleum, chemical and pharmaceutical products","clerical, sales and services workers","-"
"2001-Q3","manufacturing","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers","0.8"
"2001-Q3","manufacturing","rubber and plastic products","total","0.8"
"2001-Q3","manufacturing","rubber and plastic products","professional, managers, executive and technicians","-"
"2001-Q3","manufacturing","rubber and plastic products","clerical, sales and services workers","-"
"2001-Q3","manufacturing","rubber and plastic products","production and transport operators, cleaners and labourers","0.6"
"2001-Q3","manufacturing","fabricated metal products","total","0.8"
"2001-Q3","manufacturing","fabricated metal products","professional, managers, executive and technicians","0.9"
"2001-Q3","manufacturing","fabricated metal products","clerical, sales and services workers","-"
"2001-Q3","manufacturing","fabricated metal products","production and transport operators, cleaners and labourers","0.7"
"2001-Q3","manufacturing","machinery and equipment","total","0.9"
"2001-Q3","manufacturing","machinery and equipment","professional, managers, executive and technicians","1.2"
"2001-Q3","manufacturing","machinery and equipment","clerical, sales and services workers","-"
"2001-Q3","manufacturing","machinery and equipment","production and transport operators, cleaners and labourers","0.9"
"2001-Q3","manufacturing","electrical products","total","-"
"2001-Q3","manufacturing","electrical products","professional, managers, executive and technicians","-"
"2001-Q3","manufacturing","electrical products","clerical, sales and services workers","-"
"2001-Q3","manufacturing","electrical products","production and transport operators, cleaners and labourers","-"
"2001-Q3","manufacturing","electronic products","total","0.3"
"2001-Q3","manufacturing","electronic products","professional, managers, executive and technicians","0.7"
"2001-Q3","manufacturing","electronic products","clerical, sales and services workers","-"
"2001-Q3","manufacturing","electronic products","production and transport operators, cleaners and labourers","-"
"2001-Q3","manufacturing","medical and precision instruments","total","0.7"
"2001-Q3","manufacturing","medical and precision instruments","professional, managers, executive and technicians","-"
"2001-Q3","manufacturing","medical and precision instruments","clerical, sales and services workers","-"
"2001-Q3","manufacturing","medical and precision instruments","production and transport operators, cleaners and labourers","-"
"2001-Q3","manufacturing","transport equipment","total","3.2"
"2001-Q3","manufacturing","transport equipment","professional, managers, executive and technicians","3.2"
"2001-Q3","manufacturing","transport equipment","clerical, sales and services workers","-"
"2001-Q3","manufacturing","transport equipment","production and transport operators, cleaners and labourers","3.3"
"2001-Q3","manufacturing","other manufacturing industries","total","1.3"
"2001-Q3","manufacturing","other manufacturing industries","professional, managers, executive and technicians","-"
"2001-Q3","manufacturing","other manufacturing industries","clerical, sales and services workers","-"
"2001-Q3","manufacturing","other manufacturing industries","production and transport operators, cleaners and labourers","1.5"
"2001-Q3","construction","construction","total","0.5"
"2001-Q3","construction","construction","professional, managers, executive and technicians","0.9"
"2001-Q3","construction","construction","clerical, sales and services workers","-"
"2001-Q3","construction","construction","production and transport operators, cleaners and labourers","0.4"
"2001-Q3","services","wholesale and retail trade","total","1.3"
"2001-Q3","services","wholesale and retail trade","professional, managers, executive and technicians","0.9"
"2001-Q3","services","wholesale and retail trade","clerical, sales and services workers","1.8"
"2001-Q3","services","wholesale and retail trade","production and transport operators, cleaners and labourers","0.7"
"2001-Q3","services","transport and storage","total","2.3"
"2001-Q3","services","transport and storage","professional, managers, executive and technicians","2.8"
"2001-Q3","services","transport and storage","clerical, sales and services workers","1.7"
"2001-Q3","services","transport and storage","production and transport operators, cleaners and labourers","2.6"
"2001-Q3","services","hotels and restaurants","total","2.1"
"2001-Q3","services","hotels and restaurants","professional, managers, executive and technicians","1.1"
"2001-Q3","services","hotels and restaurants","clerical, sales and services workers","2.3"
"2001-Q3","services","hotels and restaurants","production and transport operators, cleaners and labourers","2.3"
"2001-Q3","services","information and communications","total","1.1"
"2001-Q3","services","information and communications","professional, managers, executive and technicians","1.1"
"2001-Q3","services","information and communications","clerical, sales and services workers","1"
"2001-Q3","services","information and communications","production and transport operators, cleaners and labourers","-"
"2001-Q3","services","financial services","total","1.3"
"2001-Q3","services","financial services","professional, managers, executive and technicians","1.5"
"2001-Q3","services","financial services","clerical, sales and services workers","0.9"
"2001-Q3","services","financial services","production and transport operators, cleaners and labourers","1.7"
"2001-Q3","services","real estate and leasing services","total","1.7"
"2001-Q3","services","real estate and leasing services","professional, managers, executive and technicians","1.1"
"2001-Q3","services","real estate and leasing services","clerical, sales and services workers","1.2"
"2001-Q3","services","real estate and leasing services","production and transport operators, cleaners and labourers","2.2"
"2001-Q3","services","professional services","total","1.1"
"2001-Q3","services","professional services","professional, managers, executive and technicians","1.4"
"2001-Q3","services","professional services","clerical, sales and services workers","0.7"
"2001-Q3","services","professional services","production and transport operators, cleaners and labourers","-"
"2001-Q3","services","administrative and support services","total","2.1"
"2001-Q3","services","administrative and support services","professional, managers, executive and technicians","-"
"2001-Q3","services","administrative and support services","clerical, sales and services workers","2.6"
"2001-Q3","services","administrative and support services","production and transport operators, cleaners and labourers","1.9"
"2001-Q3","services","community, social and personal services","total","2.3"
"2001-Q3","services","community, social and personal services","professional, managers, executive and technicians","2.5"
"2001-Q3","services","community, social and personal services","clerical, sales and services workers","1.9"
"2001-Q3","services","community, social and personal services","production and transport operators, cleaners and labourers","2.5"
"2001-Q3","others","others","total","2"
"2001-Q3","others","others","professional, managers, executive and technicians","4.5"
"2001-Q3","others","others","clerical, sales and services workers","-"
"2001-Q3","others","others","production and transport operators, cleaners and labourers","1"
"2001-Q4","total","total","total","1.2"
"2001-Q4","total","total","professional, managers, executive and technicians","1.3"
"2001-Q4","total","total","clerical, sales and services workers","1.3"
"2001-Q4","total","total","production and transport operators, cleaners and labourers","1.1"
"2001-Q4","manufacturing","food, beverages and tobacco","total","0.6"
"2001-Q4","manufacturing","food, beverages and tobacco","professional, managers, executive and technicians","-"
"2001-Q4","manufacturing","food, beverages and tobacco","clerical, sales and services workers","-"
"2001-Q4","manufacturing","food, beverages and tobacco","production and transport operators, cleaners and labourers","-"
"2001-Q4","manufacturing","paper products and printing","total","0.4"
"2001-Q4","manufacturing","paper products and printing","professional, managers, executive and technicians","-"
